,Everton,Sheffield United,Leicester City,Chelsea,Liverpool,Southampton,Norwich City,Burnley,Manchester United,Crystal Palace,Wolverhampton Wanderers,West Ham United,Tottenham Hotspur,Manchester City,Arsenal,AFC Bournemouth,Brighton & Hove Albion,Watford,Newcastle United,Aston Villa
160,Maarten Stekelenburg,Michael Verrips,Christian Fuchs,Marco van Ginkel,Adrián,Sam McQueen,Alexander Tettey,Aaron Lennon,Diogo Dalot,Jaïro Riedewald,Enzo LoiodiceL,Pablo Zabaleta,Gedson FernandesL,Claudio Bravo,CédricL,Jordon Ibe,Beram Kayal,Adam Masina,Andy Carroll,Kortney Hause
161,Netherlands,Netherlands,Austria,Netherlands,Spain,England,Norway,England,Portugal,Netherlands,France,Argentina,Portugal,Chile,Portugal,England,Israel,Italy,England,England
162,72,69,73,76,76,65,71,73,75,72,65,74,75,77,75,72,71,74,75,70
163,72,76,73,77,76,69,71,73,85,75,85,74,84,77,75,77,71,76,75,76
164,37,23,34,27,33,25,34,33,21,24,19,35,21,37,29,24,32,26,31,25
165,1,1,1,1,1,3,1,2,2,2,2,1,1,1,1,2,2,1,1,2
166,4,0,0,8,14,0,2,5,42,4,4,4,16,16,8,9,0,3,9,4
167,0,0,1,2,0,1,2,3,1,1,2,1,2,0,1,3,2,1,4,1
168,Cuco Martina,Leon Clarke,Daniel Amartey,Reece James,Nathaniel Clyne,Will Smallbone,Michael McGovern,Phil Bardsley,Mason Greenwood,Stephen Henderson,Meritan Shabani,Albian Ajeti,Michel Vorm,Mix Diskerud,Gabriel Martinelli,Charlie Daniels,Steven Alzate,Adrian Mariappa,Sean Longstaff,Jed Steer
169,Curacao,England,Ghana,England,England,Republic of Ireland,Northern Ireland,Scotland,England,Republic of Ireland,Germany,Switzerland,Netherlands,United States,Brazil,England,Colombia,Jamaica,England,England
170,68,69,72,75,76,64,67,72,74,65,63,73,74,72,74,72,69,74,74,70
171,68,69,75,87,76,80,67,72,89,65,76,80,74,72,88,72,80,74,85,72
172,30,35,25,20,29,20,36,35,18,32,21,23,36,29,19,34,22,33,22,27
173,1,1,2,2,1,2,1,1,2,1,3,1,1,2,3,1,2,2,2,1
174,3,0,6,88,9,2,0,0,561,0,1,3,3,3,69,0,13,2,10,1
175,1,4,1,1,1,2,0,1,4,0,2,4,0,2,3,1,2,1,2,0
176,Beni Baningime,Richairo Živković,James Justin,Willy Caballero,Sepp van den Berg,Harry Lewis,Adam Idah,Bailey Peacock-Farrell,Axel Tuanzebe,Brandon Pierrick,Phil Ofosu-Ayeh,Carlos Sánchez,Japhet Tanganga,Scott CarsonL,Bukayo Saka,Artur Boruc,David Button,Isaac Success,Yoshinori Mutō,Ahmed Elmohamady
177,DR Congo,Netherlands,England,Argentina,Netherlands,England,Republic of Ireland,Northern Ireland,England,England,Ghana,Colombia,England,England,England,Poland,England,Nigeria,Japan,Egypt
178,67,68,70,75,66,62,65,69,74,60,63,72,69,71,74,72,68,72,74,70
179,77,73,80,75,84,74,84,77,82,82,63,72,84,71,89,72,68,78,74,70
180,22,24,22,38,18,22,19,23,22,18,28,34,21,35,19,40,31,24,28,33
181,2,2,2,1,1,1,1,1,2,2,2,2,3,1,3,1,1,3,1,3
182,6,5,6,2,15,0,5,3,30,0,0,3,42,3,134,5,1,2,2,2
183,2,4,1,0,1,0,4,0,1,3,1,2,1,0,3,0,0,4,4,1
184,Ellis Simms,Jack Rodwell,Bartosz Kapustka,Callum Hudson-Odoi,Pedro Chirivella,Dan N'Lundulu,Aidan Fitzpatrick,Jimmy Dunne,Brandon Williams,David Boateng,Bruno Jordão,Gonçalo Cardoso,Oliver Skipp,Eric García,Reiss Nelson,Dominic Solanke,Aaron Connolly,João Pedro,Christian Atsu,Henri Lansbury
185,England,England,Poland,England,Spain,England,Scotland,Republic of Ireland,England,England,Portugal,Portugal,England,Spain,England,England,Republic of Ireland,Brazil,Ghana,England
186,64,68,70,74,66,61,60,68,72,60,62,67,67,69,73,70,67,70,74,70
187,82,68,77,88,74,72,76,74,86,77,75,79,84,85,83,78,79,86,74,70
188,19,29,23,19,23,21,19,22,20,19,21,19,19,19,20,22,20,18,28,29
189,1,3,2,2,2,1,3,1,2,2,1,1,2,1,3,1,1,2,2,3
190,3,1,5,91,5,0,0,3,47,2,0,0,21,74,20,8,1,12,8,1
191,4,1,3,3,2,4,3,1,1,2,2,1,2,1,3,4,4,4,3,2
192,João Virgínia,Kieron Freeman,Matty James,Lewis Baker,Curtis Jones,Jacob Maddox,Gassan Ahadme,Adam Legzdins,Timothy Fosu-Mensah,Nya Kirby,Chem Campbell,Xande Silva,Troy Parrott,Felix Nmecha,Joseph Willock,Lloyd Kelly,Jason Steele,Adalberto Peñaranda,Emil Krafth,Neil Taylor
193,Portugal,Wales,England,England,England,England,Morocco,England,Netherlands,England,Wales,Portugal,Republic of Ireland,England,England,England,England,Venezuela,Sweden,Wales
194,63,67,67,71,65,61,59,64,72,60,59,67,64,63,71,68,67,70,73,70
195,76,67,67,76,85,75,76,64,80,78,80,75,85,83,85,82,67,77,77,70
196,20,28,29,25,19,21,19,33,22,20,17,23,18,19,21,21,30,23,26,31
197,1,1,2,3,3,3,1,1,2,2,1,3,1,2,2,2,1,3,1,1
198,3,0,0,2,77,1,0,0,28,1,0,1,11,8,22,5,0,5,0,2
199,0,1,2,2,2,2,4,0,1,3,2,3,4,2,2,1,0,3,1,1
200,Kyle John,Simon Moore,Eldin Jakupović,Billy Gilmour,Andy Lonergan,Marcus Barnes,Tom Dickson-Peters,Ali Koiki,Lee Grant,Tyrick Mitchell,Oskar Buur Rasmussen,David Martin,Alfie Whiteman,Alpha Dionkou,Eddie Nketiah,Sam Surridge,Tariq Lamptey,Domingos Quina,Karl Darlow,Keinan Davis
201,England,England,Switzerland,Scotland,England,England,Scotland,England,England,England,Denmark,England,England,Senegal,England,England,England,Portugal,England,England
202,62,67,66,66,65,60,58,61,71,59,59,66,63,62,70,67,60,69,73,66
203,75,67,66,86,65,67,73,73,71,72,69,66,74,80,85,76,78,84,75,76
204,19,30,35,19,36,23,17,21,37,21,22,34,21,18,21,22,19,20,29,22
205,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1
206,0,0,1,46,1,0,0,1,4,6,1,1,8,5,30,0,7,9,2,0
207,1,0,0,2,0,4,4,1,0,1,1,0,0,1,4,4,1,2,0,4
